     1→using Microsoft.AspNetCore.Authorization;
     2→using Microsoft.AspNetCore.Mvc;
     3→using Microsoft.EntityFrameworkCore;
     4→using BizBio.Infrastructure.Data;
     5→using BizBio.Core.Entities;
     6→using System.Security.Claims;
     7→
     8→namespace BizBio.API.Controllers;
     9→
    10→[Route("api/v1/library/extra-groups")]
    11→[ApiController]
    12→[Authorize]
    13→public class ExtraGroupsController : ControllerBase
    14→{
    15→    private readonly ApplicationDbContext _context;
    16→    private readonly ILogger<ExtraGroupsController> _logger;
    17→
    18→    public ExtraGroupsController(ApplicationDbContext context, ILogger<ExtraGroupsController> logger)
    19→    {
    20→        _context = context;
    21→        _logger = logger;
    22→    }
    23→
    24→    private int GetUserId() => int.Parse(User.FindFirst(ClaimTypes.NameIdentifier)!.Value);
    25→
    26→    /// <summary>
    27→    /// Get all extra groups for the current user
    28→    /// </summary>
    29→    [HttpGet]
    30→    public async Task<IActionResult> GetExtraGroups()
    31→    {
    32→        try
    33→        {
    34→            var userId = GetUserId();
    35→            var groups = await _context.CatalogItemExtraGroups
    36→                .Where(g => g.UserId == userId && g.CatalogId == null && g.IsActive)
    37→                .Include(g => g.GroupItems)
    38→                    .ThenInclude(gi => gi.Extra)
    39→                .OrderBy(g => g.DisplayOrder)
    40→                .ThenBy(g => g.Name)
    41→                .Select(g => new
    42→                {
    43→                    g.Id,
    44→                    g.Name,
    45→                    g.Description,
    46→                    g.MinRequired,
    47→                    g.MaxAllowed,
    48→                    g.AllowMultipleQuantities,
    49→                    g.DisplayOrder,
    50→                    g.IsActive,
    51→                    g.CreatedAt,
    52→                    g.UpdatedAt,
    53→                    Extras = g.GroupItems.Select(gi => new
    54→                    {
    55→                        gi.Id,
    56→                        gi.ExtraId,
    57→                        gi.DisplayOrder,
    58→                        gi.PriceOverride,
    59→                        Extra = new
    60→                        {
    61→                            gi.Extra.Id,
    62→                            gi.Extra.Name,
    63→                            gi.Extra.Description,
    64→                            gi.Extra.Code,
    65→                            gi.Extra.BasePrice,
    66→                            gi.Extra.ImageUrl
    67→                        }
    68→                    }).OrderBy(e => e.DisplayOrder).ToList()
    69→                })
    70→                .ToListAsync();
    71→
    72→            return Ok(new { success = true, data = groups });
    73→        }
    74→        catch (Exception ex)
    75→        {
    76→            _logger.LogError(ex, "Error fetching extra groups");
    77→            return StatusCode(500, new { success = false, error = "Failed to fetch extra groups" });
    78→        }
    79→    }
    80→
    81→    /// <summary>
    82→    /// Get a single extra group by ID
    83→    /// </summary>
    84→    [HttpGet("{id}")]
    85→    public async Task<IActionResult> GetExtraGroup(int id)
    86→    {
    87→        try
    88→        {
    89→            var userId = GetUserId();
    90→            var group = await _context.CatalogItemExtraGroups
    91→                .Where(g => g.Id == id && g.UserId == userId && g.IsActive)
    92→                .Include(g => g.GroupItems)
    93→                    .ThenInclude(gi => gi.Extra)
    94→                .Select(g => new
    95→                {
    96→                    g.Id,
    97→                    g.Name,
    98→                    g.Description,
    99→                    g.MinRequired,
   100→                    g.MaxAllowed,
   101→                    g.AllowMultipleQuantities,
   102→                    g.DisplayOrder,
   103→                    g.IsActive,
   104→                    g.CreatedAt,
   105→                    g.UpdatedAt,
   106→                    Extras = g.GroupItems.Select(gi => new
   107→                    {
   108→                        gi.Id,
   109→                        gi.ExtraId,
   110→                        gi.DisplayOrder,
   111→                        gi.PriceOverride,
   112→                        Extra = new
   113→                        {
   114→                            gi.Extra.Id,
   115→                            gi.Extra.Name,
   116→                            gi.Extra.Description,
   117→                            gi.Extra.Code,
   118→                            gi.Extra.BasePrice,
   119→                            gi.Extra.ImageUrl
   120→                        }
   121→                    }).OrderBy(e => e.DisplayOrder).ToList()
   122→                })
   123→                .FirstOrDefaultAsync();
   124→
   125→            if (group == null)
   126→                return NotFound(new { success = false, error = "Extra group not found" });
